word1,word1_FE,word2,word2 FE,target sentence,predict sentence
consider,precision,war,unit,day after the war was over two consider the following day after the war was over,of the two formed by some historians this is one is true of the united states <EOS>
button,circumstances,duty,place,to diatonic button accordions still manufactured today duty soldiers and veterans different to diatonic button accordions still manufactured today,to diatonic button accordions still manufactured today today so that would set the whole thing that <EOS>
price,event,year,rate,last year as the increased price was the same price they had been charging for common last year,year votes after his last was evident as a firm in its stock price the price of price and isomer <EOS>
harvest,distance,number,time,small number of health conditions that as the growing season allows farmers to harvest during a gap to a maximum approaching ,mere number allows the growing season allows farmers to harvest during a gap mere number year <EOS>
increase,quantity,represent,degree,increase in few of these ordinal and unk groupings represent evolutionary grade s rather than clade s,that represent atoms as an increase there was many consider the evolutionary was to represent the evolutionary <EOS>
example,mass,south,degree,ways for example south of these the mountains who exhibited the social revolt characteristics of later anarchists,the would south many revolutionaries the mountains who exhibited the social revolt characteristics of later anarchists <EOS>
place,theme,south,subregion,food riot s took place in several countries across the south was held in paris in may ,a notorious greek unk in the south name of oliver the takes place takes place held in the  <EOS>
explosive,circumstances,story,use,gold the setting of the lovecraft story of the same name and in derleth s text the domain of the great gold,but one and some story s story s ieds on the story by a story improvised explosive device device on roads roads <EOS>
highway,multiplier,woman,unit,other woman joined one or more highway in bolivia that cross the andes other woman joined,one of of pop into heterosexuality when the state of his forays into heterosexuality heterosexuality <EOS>
entrance,explanation,fellowship,place,as a revolutionary organization was undoubtedly to a great extent the apple fellowship has so of entrance and exit to pools for disabled people,as to the fellowship remain afterthought the fellowship fellowship fellowship so the the entrance to of pools for disabled people and <EOS>
guard,landmark,tongue,time,sticky tongue tend to astoria is home to three united states coast guard ships the steadfast,and the tongue might also used do not appear a strength from the tongue along along on tongue <EOS>
passenger,quantity,quarter,individuals,arriving at the passenger security checkpoint a developed what many consider the numbers approximate and rounded each quarter,and aircraft is a combination developed what many consider the work of money inputs or unk industries <EOS>
newspaper,direction,problem,accessibility,the west unk newspaper covering news and events on asu s africa have become an enormous problem,the just had a problem problem in particular africa to africa africa in a british form of achill is  in   <EOS>
cover,goal,help,explanation,the government to cover up vast corruption anarchist helped force isaf to help maintain security in afghanistan and assist the karzai administration,as satellite will cover europe and that it to cover the poor without help on the cover and the meetings <EOS>
place,beneficiary,south,place,so the was placed in position hex next south indic letter of the middle ages one of these,that reconciliation from south and south asia of is in one place of dutch the dutch <EOS>
boy,expressor,child,explanation,that arnold was not his biological child of the boy was a soulless mass of flesh possessed by the devil,manuel i renamed the child of manuel by his and young adults for a boy boy could work <EOS>
number,time,wrap,medium,whole number rule called it to be treated somewhat like recognized text when manipulating for later editing purposes ink text supported word wrap,such as the number of occurrences by the unk word wrap s word wrap accounts to any purposes ink text supported word wrap <EOS>
man,place,market,occasion,form helping the rental market aimed at typical consumers in the japanese market drills feature manipulation or movement of body parts,as is often as an elderly man the market are often in man market in the market <EOS>
control,distance,pipe,event,but after the democratic party reestablished control the reichstag pipe under construction in alaska highlights the dangers of argon tank leakage in confined spaces,control after control over every control since the reichstag control pipe pipe pipe from an alloy pipe pipe an <EOS>
sand,person,wish,origin,dust and sand that followed show no trace of human activity because those who wish to be favored by achilles,and he a ship and how the union that would have a sand wish control over of sand <EOS>
district,event,postpone,group,military district is sometimes reasons are to postpone childbearing to a more suitable time or to focus energies and resources on existing children,by and is sometimes are pronounced as to prepare the was of in the anglican period of <EOS>
control,explanation,copy,depictive,of self control with alcohol has been identified as a copy lack of self control with alcohol,to the amway bought control amway corporation amway and and control of the hermes text of unk conflicting <EOS>
plant,group,steel,event,steel was is sometimes often refers to a plant grown outdoors in the spring and summer and surviving just for one growing season,plant plant significant plant plant another to products steel products the international life for some steel products <EOS>
place,path,south,roadway,the visually flamboyant final battle of yojimbo takes place in the main trail from the south,the visually flamboyant final battle of yojimbo takes place in the main south road south to take <EOS>
character,time,shore,circumstances,featured a character that the royal navy has named one ship and two shore establishment s hms king alfred,the space character had to come before the royal navy named named and his admiral nearchus character <EOS>
curtain,symptom,film,cause,not only daiei but the international film world conditions at the end of curtain poirot s last case,from the murderer of curtain sachin made for film film in smith and the murderer of curtain <EOS>
motion,communicator,passage,explanation,ptolemy s almagest concerned mathematical theories regarding the motion of the planets to refer to as the panhandle or inside passage,the motion would suggested motion the the planets his his with with motion motion of unk <EOS>
earth,distance,uncle,event,dethroning his uncle unk days after the crew s return to earth dethroning his uncle unk,people and then the reichstag uncle by abolitionist harriet beecher stowe ranges her uncle as the only uncle <EOS>
ideal,locus,ribbon,domain,goes against the ideal war ii brought a level of unk expensive ribbon as did a capital letter,goes a marxist level of statistical the ideal level unk and machine learning learning was developed by cs <EOS>
description,individuals,title,degree,and achieved some it is not hard to see that the minimal description of a string can not be too,not an abstract of title lists all the title but consider the first expression of his wellknown attack dubious <EOS>
declare,intermediary,school,medium,unk rodrigo unk wrote to pope innocent ii to declare himself and the kingdom servants of the church,school to pope innocent ii to declare their users s call that he ii the kingdom <EOS>
man,event,market,rate,goods man someone who does not possess the promethean creative ability of the strikers common goods,have continent business are sometimes in its of powers or fast anarchy man for a man man market <EOS>
motion,depictive,passage,time,of different modes of historical time unk quasi immobile motionless history was reading the amazon passage of his alexander,he was the motion be of literally literally literally in his unk passage in his to the the nature of wave motion <EOS>
election,agent,lung,means,the army cancelled the election the drainage of a lung abscess may be performed by itself sufficient,a bomb was by remains by rice in order she when she to this proof as proof other unknown party near to it <EOS>
car,result,fashion,place,of underground car parking and separate lifts and stairs for the owners and their servants fashion partially financed with rosenwald funds,there are unk amount on a given by the fashion where musical and was less dictated by a bombing fashion to fashion right <EOS>
case,donor,demand,circumstances,the demand for children s books in this case given the demand for children s books,to demand the overall its use unk restaurants would would be the to to demand and of of <EOS>
example,place,south,product,some consider that naming the concept kolmogorov complexity is an example of the matthew be considered influential and south america and the,and south carolina took the influential science for example device on the interpretation of these characters and the teletype an example <EOS>
chairman,duration,deal,partners,the only resolution of these contradictory positions was for to deal confederates friend mark schorer later chairman of the university of california,and mackenzie he he had official to deal after the death the united states under the party near party near the party <EOS>
example,product,south,behavior,on the human body for example effect upon the south on the human body for example,a work example an example unk neighborhood directly are the south the south australia that confederate the unk car in the spacecraft <EOS>
newspaper,landmark,problem,time,the problem referred to is that of how to common newspaper obituary or government contingency plan procedures and policies,part of the british is a newspaper to talk about technology the problem that affects the guardian newspaper people talk about technology <EOS>
example,accessibility,south,ground,iran to the south in conventions imply a preferred axis for example iran to the south,and could defend the west zones for example to refer to the conditions south africa <EOS>
glory,circumstances,unit,explanation,outcome provided glory to sparta responsible per land unit was many times that seen in the middle ages,the remote control unit controls on his chest kept him from that was often about glory <EOS>
coat,part,message,whole,adorn its coat of arms with the king s crown location some scholars believe that amos message was recorded after he delivered it,the active syndicalist movements include in sweden the central organisation the the workers message single coat <EOS>
example,interval,south,degree,and though this does not exclude the possibility that autism can be initiated or example nevertheless of south africa the,the unk can be reset to the south africa above example for example in may have been here here in the the spacecraft <EOS>
history,source,president,result,cast for a president and state officers sachin history cast cast for a president and state officers,history for natural history and vicepresident history political political of sources is undecided among president and throughout the perspective of <EOS>
claim,possession,fashion,explanation,supporters used it to claim that the who endorsed acupuncture and other alternative medicine practices that were either pseudoscientific or lacking mature cinematic voice,the claim of that now deceased philippa of toulouse toulouse was a claim to have spread of and and theological in the <EOS>
influence,possessor,weapon,attachment,level would reveal the weapon of a cowboy body level would reveal the weapon of a cowboy,of an application for the weapon and weapon making for influence for aristotle influence such as strong influence for perceptions of ashoka <EOS>
bridge,result,case,explanation,viking ships to navigate under a garrisoned bridge lined with men armed with stones transferred on diesel in case of power failure,on bridge in the case of the with movement from the case it bridge bridge it as submitted submitted by the deadline <EOS>
middle,group,protection,event,day from lack of protection from the arabs of the desert is sometimes during the middle cambrian,to of protection provided influential protection from to form while in aruba of its the middle ages <EOS>
level,rate,split,group,the resurgence of anarchist ideas needed period split well documented in robert graham s anarchism a documentary history of libertarian ideas,whereas anarchists always split members of the conservatives community split of developmental delays always split to ground a level split on global level <EOS>
decrease,place,defend,circumstances,causes the temperature to decrease see to defend japan from a rapidly developing and expansionist russia,to decrease of the of not not say would not be seen as from decrease defend <EOS>
control,genre,refer,author,be under their own control and instrumentality to refer to the doctrine that animal life be under their own control and instrumentality,she letter poetry and a refer refer to the doctrine that refer by a vertical life <EOS>
place,recipient,south,source,he sought a place on a slave from south ships and sold them or used them as slaves,he sought a place in a slave ships south as an unidentified as place place place of in the the south <EOS>
